Tiempo (s),Posición X (m),Posición Y (m)
0.0,2.844722222222222,4.035694444444444
0.016769988545246278,2.844722222222222,4.028888888888889
0.033539977090492556,2.8515277777777777,4.022083333333333
0.050309965635738835,2.858333333333333,4.0152777777777775
0.06707995418098511,2.858333333333333,4.0152777777777775
0.08384994272623139,2.8651388888888887,4.008472222222222
0.10061993127147767,2.8651388888888887,4.008472222222222
0.11738991981672395,2.8651388888888887,4.008472222222222
0.13415990836197023,2.8719444444444444,4.008472222222222
0.1509298969072165,2.8719444444444444,4.001666666666666
0.16769988545246278,2.8719444444444444,4.001666666666666
0.18446987399770906,2.8787499999999997,4.001666666666666
0.20123986254295534,2.8855555555555554,3.9948611111111108
0.21800985108820162,2.8923611111111107,3.9880555555555555
0.2347798396334479,2.8991666666666664,3.9812499999999997
0.25154982817869415,2.905972222222222,3.9880555555555555
0.26831981672394045,2.905972222222222,3.974444444444444
0.2850898052691867,2.905972222222222,3.974444444444444
0.301859793814433,2.905972222222222,3.9676388888888887
0.31862978235967926,2.926388888888889,3.9676388888888887
0.33539977090492556,2.94,3.9540277777777777
0.3521697594501718,2.933194444444444,3.9540277777777777
0.3689397479954181,2.94,3.9540277777777777
0.38570973654066437,2.9468055555555552,3.947222222222222
0.4024797250859107,2.9604166666666667,3.947222222222222
0.41924971363115693,2.967222222222222,3.9404166666666662
0.43601970217640323,2.9740277777777777,3.9404166666666662
0.4527896907216495,2.9740277777777777,3.926805555555555
0.4695596792668958,2.9740277777777777,3.926805555555555
0.48632966781214204,2.9876388888888887,3.926805555555555
0.5030996563573883,2.9944444444444445,3.926805555555555
0.5198696449026347,2.9944444444444445,3.926805555555555
0.5366396334478809,2.9944444444444445,3.92
0.5534096219931272,2.9944444444444445,3.913194444444444
0.5701796105383734,2.9944444444444445,3.913194444444444
0.5869495990836198,3.0012499999999998,3.913194444444444
0.603719587628866,3.0080555555555555,3.913194444444444
0.6204895761741123,3.0080555555555555,3.9063888888888885
0.6372595647193585,3.0148611111111108,3.9063888888888885
0.6540295532646049,3.0216666666666665,3.913194444444444
0.6707995418098511,3.0216666666666665,3.913194444444444
0.6875695303550974,3.0216666666666665,3.9063888888888885
0.7043395189003436,3.0216666666666665,3.9063888888888885
0.7211095074455899,3.0284722222222222,3.9063888888888885
0.7378794959908362,3.0284722222222222,3.9063888888888885
0.7546494845360825,3.0284722222222222,3.9063888888888885
0.7714194730813287,3.0284722222222222,3.9063888888888885
0.788189461626575,3.0284722222222222,3.899583333333333
0.8049594501718214,3.0284722222222222,3.899583333333333
0.8217294387170676,3.0284722222222222,3.8927777777777774
0.8384994272623139,3.0352777777777775,3.885972222222222
0.8552694158075601,3.0420833333333333,3.8791666666666664
0.8720394043528065,3.0556944444444443,3.8723611111111107
0.8888093928980527,3.0556944444444443,3.8723611111111107
0.905579381443299,3.0625,3.8655555555555554
0.9223493699885452,3.0693055555555553,3.8587499999999997
0.9391193585337916,3.0829166666666663,3.8519444444444444
0.9558893470790378,3.089722222222222,3.8519444444444444
0.9726593356242841,3.0965277777777778,3.8451388888888887
0.9894293241695303,3.110138888888889,3.8315277777777776
1.0061993127147766,3.116944444444444,3.824722222222222
1.022969301260023,3.1305555555555555,3.8179166666666666
1.0397392898052693,3.137361111111111,3.811111111111111
1.0565092783505154,3.1441666666666666,3.7975
1.0732792668957618,3.1645833333333333,3.790694444444444
1.090049255441008,3.1781944444444443,3.783888888888889
1.1068192439862543,3.1918055555555553,3.7702777777777774
1.1235892325315007,3.2054166666666664,3.763472222222222
1.1403592210767468,3.212222222222222,3.7566666666666664
1.1571292096219932,3.225833333333333,3.7430555555555554
1.1738991981672395,3.239444444444444,3.7294444444444443
1.1906691867124857,3.259861111111111,3.7158333333333333
1.207439175257732,3.2802777777777776,3.702222222222222
1.2242091638029782,3.287083333333333,3.6954166666666666
1.2409791523482245,3.3074999999999997,3.675
1.257749140893471,3.321111111111111,3.661388888888889
1.274519129438717,3.334722222222222,3.6477777777777773
1.2912891179839634,3.348333333333333,3.6341666666666663
1.3080591065292098,3.361944444444444,3.6205555555555553
1.324829095074456,3.382361111111111,3.6069444444444443
1.3415990836197023,3.4027777777777777,3.5865277777777775
1.3583690721649484,3.4231944444444444,3.5729166666666665
1.3751390607101948,3.4436111111111107,3.566111111111111
1.3919090492554411,3.470833333333333,3.545694444444444
1.4086790378006873,3.4844444444444442,3.5252777777777777
1.4254490263459336,3.504861111111111,3.518472222222222
1.4422190148911798,3.532083333333333,3.4980555555555553
1.4589890034364261,3.5593055555555555,3.4844444444444442
1.4757589919816725,3.5729166666666665,3.4776388888888885
1.4925289805269186,3.6001388888888886,3.457222222222222
1.509298969072165,3.6205555555555553,3.4368055555555554
1.5260689576174113,3.6477777777777773,3.4231944444444444
1.5428389461626575,3.675,3.4027777777777777
1.5596089347079038,3.6954166666666666,3.382361111111111
1.57637892325315,3.7158333333333333,3.36875
1.5931489117983963,3.749861111111111,3.355138888888889
1.6099189003436427,3.783888888888889,3.334722222222222
1.6266888888888889,3.804305555555555,3.3143055555555554
1.6434588774341352,3.8315277777777776,3.2938888888888886
1.6602288659793816,3.8655555555555554,3.2802777777777776
1.6769988545246277,3.885972222222222,3.259861111111111
1.693768843069874,3.92,3.24625
1.7105388316151202,3.9404166666666662,3.212222222222222
1.7273088201603666,3.9676388888888887,3.198611111111111
1.744078808705613,3.9948611111111108,3.1781944444444443
1.760848797250859,4.022083333333333,3.1577777777777776
1.7776187857961054,4.056111111111111,3.1305555555555555
1.7943887743413518,4.083333333333333,3.110138888888889
