time(s),x,y
4.158957159221077,1201,528
4.175727147766323,1202,529
4.1924971363115695,1203,529
4.209267124856816,1204,530
4.226037113402062,1205,531
4.242807101947308,1206,532
4.259577090492555,1207,532
4.276347079037801,1207,532
4.293117067583047,1208,532
4.309887056128293,1208,532
4.3266570446735395,1209,531
4.343427033218786,1210,531
4.360197021764032,1210,530
4.376967010309278,1212,529
4.393736998854525,1212,529
4.410506987399771,1213,528
4.427276975945017,1213,528
4.444046964490264,1213,528
4.4608169530355095,1214,528
4.477586941580756,1214,528
4.494356930126003,1215,528
4.511126918671248,1215,529
4.527896907216495,1215,528
4.5446668957617415,1214,527
4.561436884306987,1214,527
4.578206872852234,1214,527
4.59497686139748,1214,527
4.611746849942726,1213,528
4.628516838487973,1213,528
4.645286827033219,1212,528
4.662056815578465,1211,529
4.6788268041237115,1211,528
4.695596792668958,1211,528
4.712366781214204,1210,528
4.72913676975945,1210,528
4.745906758304697,1208,527
4.762676746849943,1207,527
4.779446735395189,1206,527
4.796216723940435,1206,527
4.8129867124856816,1205,528
4.829756701030928,1203,527
4.846526689576174,1202,527
