time(s),x,y
0.0,415,147
0.016769988545246278,416,148
0.033539977090492556,416,148
0.050309965635738835,417,150
0.06707995418098511,418,150
0.08384994272623139,418,150
0.10061993127147767,418,150
0.11738991981672395,418,150
0.13415990836197023,418,149
0.1509298969072165,418,149
0.16769988545246278,419,151
0.18446987399770906,420,151
0.20123986254295534,421,152
0.21800985108820162,421,152
0.2347798396334479,421,152
0.25154982817869415,422,153
0.26831981672394045,423,153
0.2850898052691867,424,154
0.301859793814433,425,155
0.31862978235967926,427,156
0.33539977090492556,427,156
0.3521697594501718,428,156
0.3689397479954181,429,157
0.38570973654066437,430,158
0.4024797250859107,431,158
0.41924971363115693,431,158
0.43601970217640323,431,159
0.4527896907216495,433,159
0.4695596792668958,432,160
0.48632966781214204,434,160
0.5030996563573883,436,161
0.5198696449026347,436,161
0.5366396334478809,437,162
0.5534096219931272,437,161
0.5701796105383734,437,162
0.5869495990836198,439,163
0.603719587628866,438,163
0.6204895761741123,439,162
0.6372595647193585,439,162
0.6540295532646049,440,162
0.6707995418098511,440,163
0.6875695303550974,441,163
0.7043395189003436,441,163
0.7211095074455899,440,163
0.7378794959908362,442,164
0.7546494845360825,441,164
0.7714194730813287,442,163
0.788189461626575,442,164
0.8049594501718214,441,165
0.8217294387170676,442,165
0.8384994272623139,442,166
0.8552694158075601,442,167
0.8720394043528065,444,168
0.8888093928980527,446,169
0.905579381443299,447,169
0.9223493699885452,448,170
0.9391193585337916,449,171
0.9558893470790378,451,172
0.9726593356242841,452,173
0.9894293241695303,453,173
1.0061993127147766,454,174
1.022969301260023,456,176
1.0397392898052693,457,176
1.0565092783505154,459,178
1.0732792668957618,461,179
1.090049255441008,462,180
1.1068192439862543,465,182
1.1235892325315007,466,183
1.1403592210767468,468,185
1.1571292096219932,470,186
1.1738991981672395,473,189
1.1906691867124857,474,190
1.207439175257732,476,191
1.2242091638029782,480,194
1.2409791523482245,481,196
1.257749140893471,484,198
1.274519129438717,487,201
1.2912891179839634,488,202
1.3080591065292098,491,203
1.324829095074456,493,207
1.3415990836197023,497,209
1.3583690721649484,499,211
1.3751390607101948,502,213
1.3919090492554411,505,216
1.4086790378006873,509,218
1.4254490263459336,512,219
1.4422190148911798,516,222
1.4589890034364261,519,225
1.4757589919816725,522,227
1.4925289805269186,525,228
1.509298969072165,529,231
1.5260689576174113,532,234
1.5428389461626575,537,237
1.5596089347079038,541,240
1.57637892325315,544,242
1.5931489117983963,548,245
1.6099189003436427,552,247
1.6266888888888889,556,250
1.6434588774341352,560,253
1.6602288659793816,564,256
1.6769988545246277,567,259
1.693768843069874,572,263
1.7105388316151202,576,265
1.7273088201603666,580,268
1.744078808705613,583,271
1.760848797250859,588,275
1.7776187857961054,592,278
1.7943887743413518,596,281
1.811158762886598,602,284
1.8279287514318443,606,287
1.8446987399770904,612,291
1.8614687285223368,616,294
1.8782387170675832,621,298
1.8950087056128293,626,301
1.9117786941580757,630,305
1.928548682703322,635,308
1.9453186712485682,641,312
1.9620886597938145,645,315
1.9788586483390607,650,319
1.995628636884307,656,323
2.012398625429553,661,326
2.0291686139747998,666,330
2.045938602520046,671,334
2.062708591065292,677,339
2.0794785796105386,682,343
2.0962485681557848,687,347
2.113018556701031,693,351
2.1297885452462775,699,355
2.1465585337915236,704,360
2.1633285223367698,710,364
2.180098510882016,716,368
2.1968684994272625,722,372
2.2136384879725086,728,376
2.2304084765177548,732,381
2.2471784650630013,739,386
2.2639484536082475,744,390
2.2807184421534936,751,393
2.29748843069874,757,398
2.3142584192439863,763,403
2.3310284077892325,769,407
2.347798396334479,775,411
2.364568384879725,781,415
2.3813383734249713,788,419
2.3981083619702175,795,424
2.414878350515464,802,429
2.43164833906071,808,433
2.4484183276059563,815,438
2.465188316151203,822,442
2.481958304696449,828,446
2.498728293241695,836,451
2.515498281786942,843,456
2.532268270332188,850,461
2.549038258877434,858,466
2.5658082474226807,864,469
2.582578235967927,871,475
2.599348224513173,880,479
2.6161182130584195,887,482
2.6328882016036657,895,487
2.649658190148912,902,491
2.666428178694158,909,495
2.6831981672394045,915,499
2.6999681557846507,923,503
2.716738144329897,931,507
2.7335081328751434,939,511
2.7502781214203895,947,515
2.7670481099656357,955,517
2.7838180985108822,963,520
2.8005880870561284,973,521
2.8173580756013745,982,522
2.834128064146621,991,525
2.8508980526918672,1000,527
2.8676680412371134,1009,528
2.8844380297823595,1018,529
2.901208018327606,1025,530
2.9179780068728522,1032,532
2.9347479954180984,1038,532
2.951517983963345,1041,533
2.968287972508591,1046,534
2.9850579610538372,1049,535
3.001827949599084,1052,534
3.01859793814433,1057,533
3.035367926689576,1060,532
3.0521379152348227,1063,531
3.068907903780069,1066,529
3.085677892325315,1069,526
3.1024478808705616,1072,524
3.1192178694158077,1075,523
3.135987857961054,1078,521
3.1527578465063,1080,519
3.1695278350515466,1081,517
3.1862978235967927,1083,516
3.203067812142039,1086,515
3.2198378006872854,1089,514
3.2366077892325316,1092,514
3.2533777777777777,1094,514
3.2701477663230243,1098,514
3.2869177548682704,1101,514
3.3036877434135166,1104,514
3.320457731958763,1109,516
3.3372277205040093,1112,516
3.3539977090492554,1116,517
3.370767697594502,1119,518
3.387537686139748,1122,518
3.4043076746849943,1125,518
3.4210776632302404,1129,517
3.437847651775487,1131,516
3.454617640320733,1134,514
3.4713876288659793,1138,512
3.488157617411226,1140,512
3.504927605956472,1143,509
3.521697594501718,1146,508
3.5384675830469647,1149,507
3.555237571592211,1151,505
3.572007560137457,1153,505
3.5887775486827036,1156,504
3.6055475372279497,1157,503
3.622317525773196,1159,502
3.639087514318442,1160,502
3.6558575028636886,1164,501
3.6726274914089347,1165,500
3.689397479954181,1166,501
3.7061674684994275,1169,501
3.7229374570446736,1171,502
3.7397074455899197,1172,503
3.7564774341351663,1173,504
3.7732474226804125,1175,504
3.7900174112256586,1175,506
3.806787399770905,1176,506
3.8235573883161513,1176,506
3.8403273768613975,1177,506
3.857097365406644,1177,507
3.87386735395189,1178,507
3.8906373424971363,1179,506
3.9074073310423825,1180,506
3.924177319587629,1181,505
3.940947308132875,1181,505
3.9577172966781213,1182,504
3.974487285223368,1185,504
3.991257273768614,1185,502
4.008027262313861,1185,512
4.024797250859106,1188,513
4.041567239404353,1190,515
4.0583372279495995,1190,519
4.075107216494845,1193,520
4.091877205040092,1194,521
4.108647193585338,1196,525
4.125417182130584,1198,526
4.142187170675831,1199,527
